"Timestamp","1. Country of Residence ","2. Age Range ","3. Gender ","4. Highest Educational Level ","5. Occupation / Professional Role","6. Sector of Work","7. Do you observe visible plastic pollution (macroplastics) in your community? ","8. In what environmental settings do you most often encounter plastic waste? (Select all that apply) ","9. Are you aware of microplastics as an environmental or health issue? ","10. From your perspective, which ecosystems are most affected by plastic pollution in your area? (Select all that apply) ","11. How concerned are you about the environmental and health impacts of microplastics?","12. How knowledgeable are you about the causes and effects of microplastic pollution? ","13. What sources of information influence your understanding of microplastics? (Select all that apply) ","14. Do you believe microplastics affect human health?","15. What specific health effects have you heard about (if any)? (Open-ended) ","16. Have you seen or heard media stories on microplastics or plastic pollution in the past 6 months? ","17. Which platforms most effectively communicate environmental issues in your country? (Rank top 3) ","18. What messages do you remember most from media coverage? (Select all that apply) ","19. To what extent has media coverage influenced your behavior or concern?","20. Have you heard of the circular economy concept?","21. Which actions do you associate with a circular economy? (Select all that apply)","22. Which sectors in your country are actively working toward circular economy practices? (Select all that apply)","23. What are the biggest challenges to a circular economy in your area? (Open-ended) ","24. Which measures do you support to address plastic pollution in your country? (Choose up to 3) ","25.  What actions are you personally taking to reduce plastic waste? (Open-ended)","26. What would motivate you (or others) to take more action?","27. What further actions should be taken to tackle plastic and microplastic pollution? (Open-ended) ","28. Any other suggestions, recommendations, or experiences you’d like to share? (Optional) "
"2025/05/23 2:27:08 PM GMT+4","Kenya","55-64","Female","Master’s degree or higher","Educator / Teacher","Academic/Research","Occasionally","Urban dumpsites","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Urban areas","Extremely concerned","Very knowledgeable","Television;Social Media;Scientific publications;School/University;Community leaders","Yes","Breathing problems and Interference with Soil ecosystem. ","Yes","TV;WhatsApp;Newspapers;YouTube","Threats to marine life;Call to action/cleanups;Government policy changes","Very significantly","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Upcycling waste materials;Government incentives for recyclers","Government;Private companies;Local communities;NGOs","In Kenya the Policy of banning Plastic Paper bags has helped tremendously.

All the same some people still sneak plastic paper bags from neighboring countries. 

This counters the Government efforts to stop the use of plastics paper bags.","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","I love my environment clean so I collect any litter in my area of control.","Financial incentives","Continuous sensitisation by all stakeholders to various groups at all levels. ","N/A"
"2025/05/23 2:42:27 PM GMT+4","Kenya","55-64","Male","Master’s degree or higher","Educator / Teacher","Private Sector","Occasionally","Urban dumpsites;Markets or open-air areas","No","Urban areas","Slightly concerned","Somewhat knowledgeable","Television","Not sure","None","Yes","TV","Climate and environmental damage","Moderately","No","Redesigning packaging","Local communities","Lack of finances ","National awareness campaigns","Nothing ","Better waste facilities","Not sure ","Not sure "
"2025/05/23 2:53:27 PM GMT+4","Kenya","25-34","Female","Diploma or equivalent","Administrator","Private Sector","Frequently","Roadsides;Rivers/Lakes;Beaches;Urban dumpsites;Markets or open-air areas","Yes","Urban areas","Extremely concerned","Somewhat knowledgeable","Social Media;Scientific publications;NGOs","Yes","","Yes","Instagram","Threats to marine life;Climate and environmental damage;Call to action/cleanups","Moderately","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling","Private companies;Startups;Schools/universities;NGOs","Ignorance ","Ban on single-use plastics;National awareness campaigns;Integration into school curricula","Reuse ","Better waste facilities","Community and government engagement ","Have grants for NGOs working on environmental projectd "
"2025/05/23 2:53:45 PM GMT+4","Rwanda","25-34","Male","Secondary education","","","Never","","No","","I don’t know enough to answer","Heard about it but unsure","Television;Radio;Social Media;Scientific publications;NGOs;School/University;Community leaders;Religious institutions","Yes","","Yes","TV;Radio;Religious institutions","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups;Government policy changes","Moderately","No","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Upcycling waste materials;Government incentives for recyclers","Government;Private companies;Startups;Local communities;Schools/universities;NGOs","","Integration into school curricula;Public-private partnerships;Community-based waste management","","Financial incentives","",""
"2025/05/23 2:54:03 PM GMT+4","Rwanda","25-34","Female","Bachelor’s degree","Government employee","Public Sector","Frequently","Markets or open-air areas","No","Freshwater ecosystems","Extremely concerned","Heard about it but unsure","Scientific publications","Yes","","No","TV","Climate and environmental damage","Slightly","No","None","I’m not sure","","Increased recycling infrastructure;National awareness campaigns","","Community leadership","",""
"2025/05/23 2:57:29 PM GMT+4","Kenya","35-44","Male","Secondary education","Driver ","Private Sector","Frequently","Roadsides","Yes","Agricultural land","Extremely concerned","Very knowledgeable","Social Media","Yes","Diahorea ","Yes","TV","Threats to marine life;Food chain contamination;Climate and environmental damage;Call to action/cleanups;Government policy changes","Very significantly","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling","Government;Private companies;Local communities;Schools/universities;NGOs","Less education ","Ban on single-use plastics;National awareness campaigns;Incentives for plastic alternatives","Integration in to school curriculum ","Health education","More education ",""
"2025/05/23 3:04:06 PM GMT+4","Kenya","25-34","Male","Master’s degree or higher","Educator / Teacher","Private Sector","Frequently","Roadsides;Rivers/Lakes;Markets or open-air areas","Yes","Freshwater ecosystems;Agricultural land;Urban areas","Extremely concerned","Very knowledgeable","Social Media;Scientific publications;School/University","Yes","breeding of harmful insects such as mosquitoes causing malaria, ","Yes","TV;Newspapers;Public forums","Threats to marine life;Food chain contamination;Climate and environmental damage","Very significantly","Yes","Reusing and repairing products","Private companies"," regulatory and policy barriers, technological and infrastructure hurdles","Increased recycling infrastructure;Strict enforcement of waste laws;Community-based waste management","proper disposal of used plastic materials","Better waste facilities","creating public awareness on the need to conserve environment and also provide waste facilities at close proximities","The government, through the relevant ministries, should take up the responsibility of creating public awareness of risks and the importance of conserving the environment."
"2025/05/23 3:46:52 PM GMT+4","Rwanda","25-34","Male","Diploma or equivalent","Educator / Teacher","Public Sector","Occasionally","Markets or open-air areas","Yes","Freshwater ecosystems","Not concerned","Very knowledgeable","None","Yes","It can cause health hazard through caused by water bone disease.","No","TV;Radio;WhatsApp;Public forums;Religious institutions;Different training of people.","Microplastics in drinking water","Moderately","Yes","Reusing and repairing products","Private companies","None ","Increased recycling infrastructure","Recycling ","Community leadership","Recycling or re_uses","You can manage it in the process of recycling where you take the oldest to change it the new ones."
"2025/05/23 3:52:01 PM GMT+4","Kenya","25-34","Male","Vocational/Technical training","Informal sector worker","Private Sector","Frequently","Roadsides;Markets or open-air areas","Yes","Freshwater ecosystems","Moderately concerned","Somewhat knowledgeable","Television;Social Media;Scientific publications","Yes","","Yes","TV;Religious institutions","Climate and environmental damage","Very significantly","Yes","Composting and biodegradables","Government;Private companies;Local communities;Schools/universities;NGOs","","Increased recycling infrastructure;National awareness campaigns;Public-private partnerships","","Better waste facilities","","Yes "
"2025/05/23 5:59:23 PM GMT+4","Rwanda","35-44","Male","Diploma or equivalent","Health professional","Private Sector","Frequently","Roadsides;Rivers/Lakes;Farmlands;Beaches;Urban dumpsites;Markets or open-air areas;","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Forests;Urban areas;","Moderately concerned","Very knowledgeable","Television;Radio;Social Media;Scientific publications;NGOs;School/University;Community leaders;Religious institutions","No","","Yes","TV;Radio;WhatsApp;Facebook;TikTok;Newspapers;YouTube;Public forums;Religious institutions","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups;Government policy changes","Very significantly","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Upcycling waste materials;Government incentives for recyclers","Government;Private companies;Startups;Local communities;Schools/universities;NGOs","","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Public-private partnerships","","Health education","","to reduce plastic in areas "
"2025/05/23 6:11:51 PM GMT+4","United States ","35-44","Male","Master’s degree or higher","Informal sector worker","Informal Sector","Rarely","Rivers/Lakes","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Urban areas","Extremely concerned","Very knowledgeable","Television;Radio;Social Media;Scientific publications;School/University;Community leaders","Yes","","Yes","TV;Radio;Facebook;Newspapers","Threats to marine life;Food chain contamination;Climate and environmental damage","Very significantly","Yes","Reusing and repairing products;Composting and biodegradables;Industrial recycling;Upcycling waste materials;Government incentives for recyclers","Private companies","","Increased recycling infrastructure;National awareness campaigns;Incentives for plastic alternatives;Strict enforcement of waste laws","Recycling them ","Community leadership","Sensibilizing environmental protection through different platforms ",""
"2025/05/23 6:32:36 PM GMT+4","Kenya","35-44","Male","Bachelor’s degree","NGO / Civil society worker","Private Sector","Frequently","Roadsides","Yes","Forests;Urban areas","Extremely concerned","Very knowledgeable","Radio;Scientific publications;Community leaders","Yes","It affects the clean air we breathe ","No","TV;Radio;Public forums","Climate and environmental damage","Moderately","No","Reusing and repairing products","Local communities","","Ban on single-use plastics;Increased recycling infrastructure;Strict enforcement of waste laws;Community-based waste management","Follow the government directives on avoidance of them ","Better waste facilities","",""
"2025/05/23 8:14:56 PM GMT+4","Romania","35-44","Male","Bachelor’s degree","Engineer","Private Sector","Never","Beaches","Yes","Marine/coastal areas","Slightly concerned","Somewhat knowledgeable","NGOs","Yes","","Not sure","","Threats to marine life;Microplastics in drinking water;Food chain contamination","Slightly","Yes","Reusing and repairing products","","collecting","","","","",""
"2025/05/23 8:20:30 PM GMT+4","Kenya","35-44","Male","Master’s degree or higher","Educator / Teacher","Private Sector","Frequently","Roadsides;Rivers/Lakes;Farmlands;Urban dumpsites;Markets or open-air areas","Yes","Agricultural land;Urban areas","Moderately concerned","Somewhat knowledgeable","Television;Social Media;None","Yes","None","Yes","TV","Threats to marine life;Microplastics in drinking water;Climate and environmental damage","Moderately","Yes","Reusing and repairing products;Composting and biodegradables;Industrial recycling","Private companies;Startups","","Increased recycling infrastructure;National awareness campaigns;Strict enforcement of waste laws","Avoid litter ","Better waste facilities","Law enforcement ","Na"
